Run dir: nn_models/sp_v_256x2
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache MISS: encoding cpp_selfplay_30k
  encoded cpp_selfplay_30k/worker_00_c000.pkl: descs so far=21186
  encoded cpp_selfplay_30k/worker_00_c001.pkl: descs so far=41812
  encoded cpp_selfplay_30k/worker_00_c002.pkl: descs so far=62610
  encoded cpp_selfplay_30k/worker_00_c003.pkl: descs so far=83372
  encoded cpp_selfplay_30k/worker_00_c004.pkl: descs so far=104610
  encoded cpp_selfplay_30k/worker_00_c005.pkl: descs so far=125568
  encoded cpp_selfplay_30k/worker_00_c006.pkl: descs so far=146516
  encoded cpp_selfplay_30k/worker_00_c007.pkl: descs so far=167484
  encoded cpp_selfplay_30k/worker_00_c008.pkl: descs so far=188258
  encoded cpp_selfplay_30k/worker_00_c009.pkl: descs so far=209252
  encoded cpp_selfplay_30k/worker_00_c010.pkl: descs so far=230286
  encoded cpp_selfplay_30k/worker_00_c011.pkl: descs so far=251272
  encoded cpp_selfplay_30k/worker_00_c012.pkl: descs so far=272020
  encoded cpp_selfplay_30k/worker_00_c013.pkl: descs so far=292784
  encoded cpp_selfplay_30k/worker_00_c014.pkl: descs so far=313394
  encoded cpp_selfplay_30k/worker_00_c015.pkl: descs so far=334568
  encoded cpp_selfplay_30k/worker_00_c016.pkl: descs so far=355340
  encoded cpp_selfplay_30k/worker_00_c017.pkl: descs so far=375882
  encoded cpp_selfplay_30k/worker_00_c018.pkl: descs so far=396656
  encoded cpp_selfplay_30k/worker_00_c019.pkl: descs so far=417360
  encoded cpp_selfplay_30k/worker_00_c020.pkl: descs so far=438182
  encoded cpp_selfplay_30k/worker_00_c021.pkl: descs so far=458732
  encoded cpp_selfplay_30k/worker_00_c022.pkl: descs so far=479614
  encoded cpp_selfplay_30k/worker_00_c023.pkl: descs so far=500090
  encoded cpp_selfplay_30k/worker_00_c024.pkl: descs so far=521088
  encoded cpp_selfplay_30k/worker_00_c025.pkl: descs so far=542032
  encoded cpp_selfplay_30k/worker_00_c026.pkl: descs so far=563154
  encoded cpp_selfplay_30k/worker_00_c027.pkl: descs so far=584278
  encoded cpp_selfplay_30k/worker_00_c028.pkl: descs so far=605174
  encoded cpp_selfplay_30k/worker_00_c029.pkl: descs so far=626532
  encoded cpp_selfplay_30k/worker_00_c030.pkl: descs so far=647242
  encoded cpp_selfplay_30k/worker_00_c031.pkl: descs so far=668334
  encoded cpp_selfplay_30k/worker_00_c032.pkl: descs so far=689274
  encoded cpp_selfplay_30k/worker_00_c033.pkl: descs so far=710274
  encoded cpp_selfplay_30k/worker_00_c034.pkl: descs so far=731010
  encoded cpp_selfplay_30k/worker_00_c035.pkl: descs so far=751736
  encoded cpp_selfplay_30k/worker_00_c036.pkl: descs so far=772606
  encoded cpp_selfplay_30k/worker_00_c037.pkl: descs so far=793440
  encoded cpp_selfplay_30k/worker_00_c038.pkl: descs so far=814562
  encoded cpp_selfplay_30k/worker_00_c039.pkl: descs so far=835490
  encoded cpp_selfplay_30k/worker_00_c040.pkl: descs so far=856288
  encoded cpp_selfplay_30k/worker_00_c041.pkl: descs so far=877134
  encoded cpp_selfplay_30k/worker_00_c042.pkl: descs so far=898206
  encoded cpp_selfplay_30k/worker_00_c043.pkl: descs so far=918794
  encoded cpp_selfplay_30k/worker_00_c044.pkl: descs so far=940260
  encoded cpp_selfplay_30k/worker_00_c045.pkl: descs so far=960950
  encoded cpp_selfplay_30k/worker_00_c046.pkl: descs so far=981836
  encoded cpp_selfplay_30k/worker_00_c047.pkl: descs so far=1002450
  encoded cpp_selfplay_30k/worker_00_c048.pkl: descs so far=1023226
  encoded cpp_selfplay_30k/worker_00_c049.pkl: descs so far=1044102
  encoded cpp_selfplay_30k/worker_00_c050.pkl: descs so far=1064876
  encoded cpp_selfplay_30k/worker_00_c051.pkl: descs so far=1085968
  encoded cpp_selfplay_30k/worker_00_c052.pkl: descs so far=1107194
  encoded cpp_selfplay_30k/worker_00_c053.pkl: descs so far=1128186
  encoded cpp_selfplay_30k/worker_00_c054.pkl: descs so far=1148984
  encoded cpp_selfplay_30k/worker_00_c055.pkl: descs so far=1169846
  encoded cpp_selfplay_30k/worker_00_c056.pkl: descs so far=1190866
  encoded cpp_selfplay_30k/worker_00_c057.pkl: descs so far=1211790
  encoded cpp_selfplay_30k/worker_00_c058.pkl: descs so far=1232854
  encoded cpp_selfplay_30k/worker_00_c059.pkl: descs so far=1253440
  encoded cpp_selfplay_30k/worker_00_c060.pkl: descs so far=1274574
  encoded cpp_selfplay_30k/worker_00_c061.pkl: descs so far=1295600
  encoded cpp_selfplay_30k/worker_00_c062.pkl: descs so far=1316400
  encoded cpp_selfplay_30k/worker_00_c063.pkl: descs so far=1337022
  encoded cpp_selfplay_30k/worker_00_c064.pkl: descs so far=1358114
  encoded cpp_selfplay_30k/worker_00_c065.pkl: descs so far=1378834
  encoded cpp_selfplay_30k/worker_00_c066.pkl: descs so far=1399574
  encoded cpp_selfplay_30k/worker_00_c067.pkl: descs so far=1420392
  encoded cpp_selfplay_30k/worker_00_c068.pkl: descs so far=1441596
  encoded cpp_selfplay_30k/worker_00_c069.pkl: descs so far=1462684
  encoded cpp_selfplay_30k/worker_00_c070.pkl: descs so far=1483444
  encoded cpp_selfplay_30k/worker_00_c071.pkl: descs so far=1504454
  encoded cpp_selfplay_30k/worker_00_c072.pkl: descs so far=1525256
  encoded cpp_selfplay_30k/worker_00_c073.pkl: descs so far=1545974
  encoded cpp_selfplay_30k/worker_00_c074.pkl: descs so far=1566712
  encoded cpp_selfplay_30k/worker_01_c000.pkl: descs so far=1587586
  encoded cpp_selfplay_30k/worker_01_c001.pkl: descs so far=1608006
  encoded cpp_selfplay_30k/worker_01_c002.pkl: descs so far=1628960
  encoded cpp_selfplay_30k/worker_01_c003.pkl: descs so far=1650010
  encoded cpp_selfplay_30k/worker_01_c004.pkl: descs so far=1670548
  encoded cpp_selfplay_30k/worker_01_c005.pkl: descs so far=1691286
  encoded cpp_selfplay_30k/worker_01_c006.pkl: descs so far=1712102
  encoded cpp_selfplay_30k/worker_01_c007.pkl: descs so far=1733042
  encoded cpp_selfplay_30k/worker_01_c008.pkl: descs so far=1753862
  encoded cpp_selfplay_30k/worker_01_c009.pkl: descs so far=1774522
  encoded cpp_selfplay_30k/worker_01_c010.pkl: descs so far=1795488
  encoded cpp_selfplay_30k/worker_01_c011.pkl: descs so far=1816132
  encoded cpp_selfplay_30k/worker_01_c012.pkl: descs so far=1836942
  encoded cpp_selfplay_30k/worker_01_c013.pkl: descs so far=1857880
  encoded cpp_selfplay_30k/worker_01_c014.pkl: descs so far=1878486
  encoded cpp_selfplay_30k/worker_01_c015.pkl: descs so far=1899766
  encoded cpp_selfplay_30k/worker_01_c016.pkl: descs so far=1920454
  encoded cpp_selfplay_30k/worker_01_c017.pkl: descs so far=1941194
  encoded cpp_selfplay_30k/worker_01_c018.pkl: descs so far=1961990
  encoded cpp_selfplay_30k/worker_01_c019.pkl: descs so far=1982804
  encoded cpp_selfplay_30k/worker_01_c020.pkl: descs so far=2003372
  encoded cpp_selfplay_30k/worker_01_c021.pkl: descs so far=2024332
