Run dir: nn_models/M_15k_standard
Device: cpu
Target mode: margin | head: linear | loss: mse

Loading games from 2 run(s)...
Loaded 15000 games
By-game split: train=12000 val=1500 test=1500
Descriptors: train=2188634 val=273958 test=274810
Pre-encoding train...
Pre-encoding val...
Pre-encoding test...
NormStats: target_mode=margin, target_std=14.251, encoding_version=2
Examples: train=2188634 val=273958 test=274810

Model: 110,849 parameters
  arch: [256, 256] / gelu / norm=layer / dropout=0.2 / head=linear

epoch |  train_mse | train_mae(p) |   val_mse | val_mae(p) | best | pat | time(s)
-----------------------------------------------------------------------------------------------
    1 |     0.4219 |         6.79 |    0.3856 |       6.41 |  *   |   0 |    30.6
    2 |     0.3937 |         6.51 |    0.3771 |       6.33 |  *   |   0 |    27.5
    3 |     0.3855 |         6.42 |    0.3748 |       6.30 |  *   |   0 |    29.2
    4 |     0.3799 |         6.36 |    0.3733 |       6.29 |  *   |   0 |    30.3
    5 |     0.3756 |         6.32 |    0.3741 |       6.28 |      |   1 |    48.1
    6 |     0.3721 |         6.28 |    0.3714 |       6.27 |  *   |   0 |    34.6
    7 |     0.3695 |         6.26 |    0.3716 |       6.27 |      |   1 |    40.6
    8 |     0.3672 |         6.23 |    0.3733 |       6.28 |      |   2 |    35.6
    9 |     0.3651 |         6.21 |    0.3726 |       6.28 |      |   3 |    34.4
   10 |     0.3633 |         6.20 |    0.3710 |       6.28 |  *   |   0 |    34.8
   11 |     0.3616 |         6.18 |    0.3726 |       6.29 |      |   1 |    34.3
   12 |     0.3601 |         6.16 |    0.3714 |       6.28 |      |   2 |    34.7
   13 |     0.3587 |         6.15 |    0.3744 |       6.29 |      |   3 |    34.4
   14 |     0.3574 |         6.14 |    0.3708 |       6.27 |  *   |   0 |    36.7
   15 |     0.3564 |         6.13 |    0.3716 |       6.27 |      |   1 |    39.8
   16 |     0.3555 |         6.12 |    0.3730 |       6.28 |      |   2 |    36.0
   17 |     0.3544 |         6.11 |    0.3746 |       6.29 |      |   3 |    31.3
   18 |     0.3533 |         6.10 |    0.3710 |       6.27 |      |   4 |    31.8
   19 |     0.3526 |         6.09 |    0.3737 |       6.29 |      |   5 |    31.4
   20 |     0.3520 |         6.09 |    0.3722 |       6.29 |      |   6 |    31.3
   21 |     0.3513 |         6.08 |    0.3735 |       6.29 |      |   7 |    31.4
   22 |     0.3505 |         6.07 |    0.3703 |       6.25 |  *   |   0 |    31.3
   23 |     0.3499 |         6.07 |    0.3736 |       6.28 |      |   1 |    31.4
   24 |     0.3490 |         6.06 |    0.3725 |       6.28 |      |   2 |    31.3
   25 |     0.3486 |         6.05 |    0.3715 |       6.28 |      |   3 |    31.3
   26 |     0.3480 |         6.05 |    0.3735 |       6.30 |      |   4 |    31.3
   27 |     0.3473 |         6.04 |    0.3720 |       6.27 |      |   5 |    31.2
   28 |     0.3469 |         6.04 |    0.3723 |       6.29 |      |   6 |    31.3
   29 |     0.3467 |         6.03 |    0.3722 |       6.28 |      |   7 |    31.2
   30 |     0.3460 |         6.03 |    0.3718 |       6.28 |      |   8 |    31.2
   31 |     0.3456 |         6.02 |    0.3734 |       6.29 |      |   9 |    31.2
   32 |     0.3451 |         6.02 |    0.3721 |       6.28 |      |  10 |    31.3
   33 |     0.3449 |         6.02 |    0.3736 |       6.28 |      |  11 |    31.3
   34 |     0.3445 |         6.01 |    0.3727 |       6.29 |      |  12 |    31.2
