Run dir: nn_models/M_55k_snap_half
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache HIT: standard_bimodal_5k/encoded_v2.npz
  cache HIT: S1_standard_bimodal_10k/encoded_v2.npz
  cache HIT: S2_no_v1_bimodal_10k/encoded_v2.npz
  cache HIT: S3_strong3_bimodal_10k/encoded_v2.npz
  cache HIT: S4_all_lowT_10k/encoded_v2.npz
  cache HIT: S5_no_v1_lowT_10k/encoded_v2.npz
Chunked build: train=4023860 val=1039712 test=1028000 | dtype=float16 | use_cache=True | target_mode=margin target_std=13.152

Model: 110,849 parameters
  arch: [256, 256] / gelu / norm=layer / dropout=0.2 / head=linear

epoch |  train_mse | train_mae(p) |   val_mse | val_mae(p) | best | pat | time(s)
-----------------------------------------------------------------------------------------------
    1 |     0.4207 |         6.21 |    0.3872 |       5.91 |  *   |   0 |    69.4
    2 |     0.3971 |         5.99 |    0.3804 |       5.82 |  *   |   0 |    68.7
    3 |     0.3903 |         5.93 |    0.3789 |       5.80 |  *   |   0 |    84.6
    4 |     0.3863 |         5.89 |    0.3754 |       5.78 |  *   |   0 |    81.1
    5 |     0.3834 |         5.87 |    0.3712 |       5.74 |  *   |   0 |    70.1
    6 |     0.3811 |         5.85 |    0.3706 |       5.72 |  *   |   0 |    70.8
    7 |     0.3793 |         5.83 |    0.3690 |       5.72 |  *   |   0 |    77.1
    8 |     0.3780 |         5.82 |    0.3680 |       5.71 |  *   |   0 |    84.5
    9 |     0.3767 |         5.81 |    0.3668 |       5.70 |  *   |   0 |    80.0
   10 |     0.3756 |         5.80 |    0.3665 |       5.69 |  *   |   0 |    75.3
   11 |     0.3747 |         5.79 |    0.3664 |       5.69 |  *   |   0 |    72.2
   12 |     0.3739 |         5.79 |    0.3650 |       5.68 |  *   |   0 |    78.4
   13 |     0.3732 |         5.78 |    0.3660 |       5.69 |      |   1 |    76.3
   14 |     0.3727 |         5.77 |    0.3651 |       5.68 |      |   2 |    66.2
   15 |     0.3717 |         5.77 |    0.3653 |       5.68 |      |   3 |    66.2
   16 |     0.3714 |         5.76 |    0.3650 |       5.67 |      |   4 |    71.1
   17 |     0.3710 |         5.76 |    0.3644 |       5.67 |  *   |   0 |    73.4
   18 |     0.3703 |         5.75 |    0.3648 |       5.68 |      |   1 |    63.5
   19 |     0.3700 |         5.75 |    0.3638 |       5.67 |  *   |   0 |    78.8
   20 |     0.3695 |         5.75 |    0.3631 |       5.66 |  *   |   0 |    78.6
   21 |     0.3692 |         5.74 |    0.3637 |       5.66 |      |   1 |    77.6
   22 |     0.3689 |         5.74 |    0.3630 |       5.65 |  *   |   0 |    66.9
   23 |     0.3685 |         5.74 |    0.3631 |       5.66 |      |   1 |    65.9
   24 |     0.3682 |         5.74 |    0.3633 |       5.66 |      |   2 |    69.3
   25 |     0.3680 |         5.73 |    0.3630 |       5.66 |      |   3 |    66.5
   26 |     0.3677 |         5.73 |    0.3631 |       5.66 |      |   4 |    72.6
   27 |     0.3671 |         5.73 |    0.3618 |       5.65 |  *   |   0 |   109.6
   28 |     0.3668 |         5.72 |    0.3625 |       5.66 |      |   1 |    70.7
   29 |     0.3669 |         5.73 |    0.3623 |       5.65 |      |   2 |    66.6
   30 |     0.3665 |         5.72 |    0.3623 |       5.65 |      |   3 |    65.3
   31 |     0.3664 |         5.72 |    0.3617 |       5.65 |  *   |   0 |    65.5
   32 |     0.3660 |         5.72 |    0.3624 |       5.65 |      |   1 |    85.0
   33 |     0.3659 |         5.72 |    0.3624 |       5.65 |      |   2 |    69.5
   34 |     0.3656 |         5.72 |    0.3621 |       5.64 |      |   3 |    67.9
   35 |     0.3655 |         5.71 |    0.3622 |       5.65 |      |   4 |    67.5
   36 |     0.3654 |         5.71 |    0.3617 |       5.64 |      |   5 |    69.0
   37 |     0.3651 |         5.71 |    0.3617 |       5.65 |      |   6 |    68.8
   38 |     0.3650 |         5.71 |    0.3621 |       5.65 |      |   7 |    71.5
   39 |     0.3647 |         5.71 |    0.3612 |       5.64 |  *   |   0 |    75.8
   40 |     0.3645 |         5.71 |    0.3616 |       5.64 |      |   1 |    82.6
   41 |     0.3644 |         5.70 |    0.3612 |       5.65 |  *   |   0 |    93.2
   42 |     0.3644 |         5.70 |    0.3611 |       5.64 |  *   |   0 |    83.1
   43 |     0.3642 |         5.70 |    0.3612 |       5.64 |      |   1 |    73.4
   44 |     0.3641 |         5.70 |    0.3613 |       5.64 |      |   2 |    67.1
   45 |     0.3639 |         5.70 |    0.3624 |       5.65 |      |   3 |   112.8
   46 |     0.3638 |         5.70 |    0.3611 |       5.64 |  *   |   0 |   187.4
   47 |     0.3637 |         5.70 |    0.3608 |       5.64 |  *   |   0 |   184.9
   48 |     0.3634 |         5.70 |    0.3612 |       5.64 |      |   1 |   191.4
   49 |     0.3634 |         5.70 |    0.3609 |       5.64 |      |   2 |   190.0
   50 |     0.3631 |         5.69 |    0.3609 |       5.64 |      |   3 |   183.7
   51 |     0.3631 |         5.69 |    0.3620 |       5.65 |      |   4 |   187.5
   52 |     0.3630 |         5.69 |    0.3609 |       5.64 |      |   5 |   197.5
   53 |     0.3629 |         5.69 |    0.3619 |       5.65 |      |   6 |   198.9
   54 |     0.3629 |         5.69 |    0.3609 |       5.64 |      |   7 |   202.0
   55 |     0.3627 |         5.69 |    0.3616 |       5.64 |      |   8 |   202.0
   56 |     0.3625 |         5.69 |    0.3611 |       5.64 |      |   9 |   203.7
   57 |     0.3625 |         5.69 |    0.3610 |       5.64 |      |  10 |   201.5
   58 |     0.3625 |         5.69 |    0.3617 |       5.65 |      |  11 |   200.6
   59 |     0.3623 |         5.69 |    0.3608 |       5.64 |  *   |   0 |   215.6
   60 |     0.3621 |         5.69 |    0.3610 |       5.64 |      |   1 |   214.7
   61 |     0.3621 |         5.69 |    0.3613 |       5.64 |      |   2 |   216.8
   62 |     0.3620 |         5.69 |    0.3621 |       5.64 |      |   3 |   216.3
   63 |     0.3620 |         5.68 |    0.3609 |       5.64 |      |   4 |   217.3
   64 |     0.3618 |         5.68 |    0.3609 |       5.64 |      |   5 |   215.6
   65 |     0.3616 |         5.68 |    0.3607 |       5.64 |  *   |   0 |   216.0
   66 |     0.3616 |         5.68 |    0.3609 |       5.64 |      |   1 |   216.7
   67 |     0.3616 |         5.68 |    0.3603 |       5.63 |  *   |   0 |   215.4
   68 |     0.3616 |         5.68 |    0.3612 |       5.64 |      |   1 |   213.9
   69 |     0.3615 |         5.68 |    0.3615 |       5.64 |      |   2 |   214.0
   70 |     0.3613 |         5.68 |    0.3612 |       5.64 |      |   3 |   213.6
   71 |     0.3612 |         5.68 |    0.3606 |       5.63 |      |   4 |   211.7
   72 |     0.3613 |         5.68 |    0.3605 |       5.63 |      |   5 |   211.3
