Run dir: nn_models/M_82k_warmM62k
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache HIT: standard_bimodal_5k/encoded_v2.npz
  cache HIT: S1_standard_bimodal_10k/encoded_v2.npz
  cache HIT: S2_no_v1_bimodal_10k/encoded_v2.npz
  cache HIT: S3_strong3_bimodal_10k/encoded_v2.npz
  cache HIT: S4_all_lowT_10k/encoded_v2.npz
  cache HIT: S5_no_v1_lowT_10k/encoded_v2.npz
  cache HIT: blend_nnforward_10k/encoded_v2.npz
  cache HIT: blend_nnforward_10k_b/encoded_v2.npz
  cache HIT: blend_nnforward_strict_10k/encoded_v2.npz
Chunked build: train=12039724 val=1555200 test=1526568 | dtype=float16 | use_cache=True | target_mode=margin target_std=13.321

Model: 110,849 parameters
  arch: [256, 256] / gelu / norm=layer / dropout=0.2 / head=linear
/Users/hunterwieman/miniconda3/lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
  warm-start from nn_models/M_62k_warmM55k/best.pt: loaded 10 matching param tensors, kept 0 at random init (arch/shape mismatch)
  fast_loader ON (batched-index, bs=512, data_on_device=False)

epoch |  train_mse | train_mae(p) |   val_mse | val_mae(p) | best | pat | time(s)
-----------------------------------------------------------------------------------------------
    1 |     0.3855 |         5.89 |    0.3747 |       5.78 |  *   |   0 |   169.9
    2 |     0.3846 |         5.89 |    0.3746 |       5.77 |  *   |   0 |   166.2
    3 |     0.3843 |         5.88 |    0.3751 |       5.78 |      |   1 |   176.8
    4 |     0.3838 |         5.88 |    0.3755 |       5.78 |      |   2 |   180.0
    5 |     0.3835 |         5.88 |    0.3748 |       5.78 |      |   3 |   171.1
    6 |     0.3832 |         5.87 |    0.3751 |       5.78 |      |   4 |   151.6
    7 |     0.3829 |         5.87 |    0.3752 |       5.79 |      |   5 |   156.1
    8 |     0.3827 |         5.87 |    0.3743 |       5.77 |  *   |   0 |   152.0
    9 |     0.3825 |         5.87 |    0.3749 |       5.78 |      |   1 |   157.4
   10 |     0.3823 |         5.87 |    0.3746 |       5.77 |      |   2 |   161.2
   11 |     0.3821 |         5.86 |    0.3746 |       5.77 |      |   3 |   161.5
   12 |     0.3819 |         5.86 |    0.3750 |       5.78 |      |   4 |   155.8
   13 |     0.3818 |         5.86 |    0.3751 |       5.77 |      |   5 |   168.9
   14 |     0.3815 |         5.86 |    0.3745 |       5.77 |      |   6 |   175.7
   15 |     0.3814 |         5.86 |    0.3758 |       5.78 |      |   7 |   178.4
   16 |     0.3813 |         5.86 |    0.3758 |       5.78 |      |   8 |   165.8
   17 |     0.3812 |         5.86 |    0.3748 |       5.77 |      |   9 |   181.2
   18 |     0.3810 |         5.86 |    0.3754 |       5.78 |      |  10 |   188.4
   19 |     0.3809 |         5.86 |    0.3749 |       5.77 |      |  11 |   173.9
   20 |     0.3806 |         5.85 |    0.3751 |       5.78 |      |  12 |   187.1
