Run dir: nn_models/M_blend17k_256_256_256
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache HIT: blend_nnforward_10k/encoded_v2.npz
  cache HIT: blend_nnforward_10k_b/encoded_v2.npz
Chunked build: train=2617358 val=335418 test=330200 | dtype=float16 | use_cache=True | target_mode=margin target_std=13.736

Model: 177,153 parameters
  arch: [256, 256, 256] / gelu / norm=layer / dropout=0.2 / head=linear

epoch |  train_mse | train_mae(p) |   val_mse | val_mae(p) | best | pat | time(s)
-----------------------------------------------------------------------------------------------
    1 |     0.4735 |         6.67 |    0.4451 |       6.49 |  *   |   0 |    63.2
    2 |     0.4354 |         6.36 |    0.4345 |       6.42 |  *   |   0 |    49.1
    3 |     0.4228 |         6.26 |    0.4318 |       6.39 |  *   |   0 |    48.5
    4 |     0.4140 |         6.19 |    0.4338 |       6.39 |      |   1 |    49.3
    5 |     0.4077 |         6.13 |    0.4286 |       6.37 |  *   |   0 |    48.9
    6 |     0.4028 |         6.10 |    0.4272 |       6.37 |  *   |   0 |    47.9
    7 |     0.3988 |         6.06 |    0.4236 |       6.33 |  *   |   0 |    48.0
    8 |     0.3956 |         6.04 |    0.4237 |       6.35 |      |   1 |    47.9
    9 |     0.3922 |         6.01 |    0.4224 |       6.31 |  *   |   0 |    48.0
   10 |     0.3899 |         5.99 |    0.4269 |       6.35 |      |   1 |    49.0
   11 |     0.3876 |         5.97 |    0.4240 |       6.34 |      |   2 |    49.9
   12 |     0.3859 |         5.96 |    0.4221 |       6.30 |  *   |   0 |    49.0
   13 |     0.3836 |         5.94 |    0.4192 |       6.31 |  *   |   0 |    48.1
   14 |     0.3822 |         5.93 |    0.4237 |       6.33 |      |   1 |    48.2
   15 |     0.3806 |         5.92 |    0.4227 |       6.33 |      |   2 |    48.1
   16 |     0.3794 |         5.91 |    0.4236 |       6.33 |      |   3 |    48.1
   17 |     0.3780 |         5.90 |    0.4246 |       6.34 |      |   4 |    48.1
   18 |     0.3770 |         5.89 |    0.4234 |       6.33 |      |   5 |    48.1
   19 |     0.3760 |         5.88 |    0.4230 |       6.34 |      |   6 |    48.1
   20 |     0.3749 |         5.87 |    0.4245 |       6.32 |      |   7 |    48.0
   21 |     0.3738 |         5.86 |    0.4226 |       6.32 |      |   8 |    48.0
   22 |     0.3730 |         5.86 |    0.4229 |       6.32 |      |   9 |    48.0
   23 |     0.3719 |         5.85 |    0.4223 |       6.31 |      |  10 |    48.0
   24 |     0.3713 |         5.84 |    0.4254 |       6.33 |      |  11 |    48.0
   25 |     0.3707 |         5.84 |    0.4246 |       6.32 |      |  12 |    48.0
   26 |     0.3695 |         5.83 |    0.4240 |       6.34 |      |  13 |    47.9
   27 |     0.3691 |         5.82 |    0.4274 |       6.36 |      |  14 |    47.9
   28 |     0.3686 |         5.82 |    0.4239 |       6.33 |      |  15 |    47.9
   29 |     0.3675 |         5.81 |    0.4236 |       6.32 |      |  16 |    47.9
